filename,post_title,vimeo_id,youtube_id,youtube_title,youtube_url,confirmed
2015-10-14-slightly-left-of-centre-love-the-way-you-move.md,Slightly Left Of Centre - Love The Way You Move,68930177,Wga5A6R9BJg,Slightly Left of Centre - Love The Way You Move (LTWYM) Official Music Video,https://www.youtube.com/watch?v=Wga5A6R9BJg,YES
2015-10-22-brodinski-cant-help-myself.md,Brodinski - Can''t Help Myself,112391679,VQu-rJEoYQY,Brodinski Feat. SD - Can't Help Myself (Official Video),https://www.youtube.com/watch?v=VQu-rJEoYQY,YES
2015-10-24-define-beauty-scratchnsniff.md,Define Beauty: Scratch’n’Sniff,143238252,zXGnrd7yYSc,Kenwood Human scratch n' sniff,https://www.youtube.com/watch?v=zXGnrd7yYSc,YES
2015-11-02-edward-sharpe-and-the-magnetic-zeros-kisses-over-babylon.md,"Edward Sharpe and The Magnetic Zeros - \""KISSES OVER BABYLON\",7811853,,,,NO
2015-11-02-the-flaming-lips-the-sparrow-looks-up-at-the-machine.md,The Flaming Lips - The Sparrow Looks Up At The Machine,15250000,FxfWTvJD1q8,"The Flaming Lips - ""The Sparrow Looks Up At The Machine"" [Official Video]",https://www.youtube.com/watch?v=FxfWTvJD1q8,YES
2015-11-09-skrillex-fck-that-by-nabil.md,SKRILLEX [F#ck That] by NABIL,110678112,,,,NO
2015-11-10-damian-jr-gong-marley-gunman-down.md,Damian “Jr. Gong” Marley. [Gunman Down],109888438,0UG88eUrn-A,"Damian ""JR GONG"" Marley - Is It Worth It ? (Gunman World) (Official Video)",https://www.youtube.com/watch?v=0UG88eUrn-A,YES
2015-11-12-dubioza-kolektiv-free-mp3-the-pirate-bay-song-uncensored-nsfw.md,Dubioza kolektiv “Free.mp3 (The Pirate Bay Song)” / UNCENSORED / NSFW,140641031,,,,NO
2015-11-12-paolo-nutini-iron-sky.md,Paolo Nutini ‘Iron Sky’,102826203,WoCSeIY0xdo,Paolo Nutini - Iron Sky [Short Film],https://www.youtube.com/watch?v=WoCSeIY0xdo,YES
2015-11-12-plan-b-prayin.md,Plan B ‘Prayin’,38354168,axfD-IqmTZg,Plan B - Prayin' (Official Video),https://www.youtube.com/watch?v=axfD-IqmTZg,YES
2015-11-12-riptide-in-the-middle-of-the-nite.md,RipTide - In The Middle of the Nite,85825615,hLEhwxy_Hig,RipTide - In the Middle of the Nite (Official music video by Stefan Glerum & Crooked Line),https://www.youtube.com/watch?v=hLEhwxy_Hig,YES
2015-11-12-the-ramona-flowers-tokyo.md,THE RAMONA FLOWERS | Tokyo,90181143,F5VRAsN4VH0,The Ramona Flowers - Dismantle and Rebuild (Official Music Video),https://www.youtube.com/watch?v=F5VRAsN4VH0,YES
2015-11-12-the-shoes-time-to-dance.md,The Shoes ‘Time To Dance’,40235501,pt9wnawn7xQ,The Shoes - Time to Dance (Official Video),https://www.youtube.com/watch?v=pt9wnawn7xQ,YES
2015-11-12-thugli-run-this.md,THUGLI - RUN THIS,82000616,B4TBRcVe4mY,"THUGLI - ""Run This"" (Official Video)",https://www.youtube.com/watch?v=B4TBRcVe4mY,YES
2016-01-29-biz-dunya-bukuldu.md,"Biz - \""Dünya Büküldü\",159621830,mQH2BayT5GQ,Biz - Dünya Büküldü (feat. Nilipek.) | Sofar Istanbul,https://www.youtube.com/watch?v=mQH2BayT5GQ,YES
2016-02-10-belly-maison.md,Belly – Maison,146960582,ZUdQwB0mHa8,Belly - Maison,https://www.youtube.com/watch?v=ZUdQwB0mHa8,YES
2016-02-10-kim-and-the-created-dead-to-me.md,Kim and the Created – Dead to Me,110206365,qit_TaDM2uE,Kim and The Created - Dead To Me (LIVE at The Echoplex),https://www.youtube.com/watch?v=qit_TaDM2uE,YES
2016-03-04-flying-lotus-fuckkkyouuu-a-short-film-by-eddie-alcazar.md,Flying Lotus - FUCKKKYOUUU (a short film by Eddie Alcazar),153738838,,,,NO
2016-03-04-saverne-hendrix.md,Saverne - Hendrix,155603994,uFQqf4wwc6M,SAVERNE - Hendrix [Official Music Video],https://www.youtube.com/watch?v=uFQqf4wwc6M,YES
2016-03-04-scene-de-crime.md,Scène De Crime,135824234,NYz8xs163YU,Sade - Is It A Crime - Official - 1986,https://www.youtube.com/watch?v=NYz8xs163YU,YES
2016-03-07-e2-80-a0-carpenter-brut-e2-80-a0-turbo-killer-e2-80-a0-directed-by-seth-ickerman-e2-80-a0-official-video-e2-80-a0.md,† Carpenter Brut † TURBO KILLER † Directed by Seth Ickerman † Official Video †,156773180,er416Ad3R1g,† Carpenter Brut † TURBO KILLER † Directed by Seth Ickerman † Official Video †,https://www.youtube.com/watch?v=er416Ad3R1g,YES
2016-05-07-kcpk-ft-sts-who-wants-it.md,KCPK ft. STS - WHO WANTS IT,157251756,1UFK0CA813s,KCPK - Who Wants It feat STS (Official Video),https://www.youtube.com/watch?v=1UFK0CA813s,YES
2016-05-26-mykki-blanco-high-school-never-ends-ft-woodkid.md,Mykki Blanco - High School Never Ends (ft. Woodkid),166976636,cNGR4ciDmTA,"Mykki Blanco - ""High School Never Ends"" (ft. Woodkid) (Official Music Video)",https://www.youtube.com/watch?v=cNGR4ciDmTA,YES
2016-05-27-boots-c-u-r-e.md,Boots - C.U.R.E.,165509812,MPkLz2quNOw,BOOTS - C.U.R.E. (Official Video),https://www.youtube.com/watch?v=MPkLz2quNOw,YES
2016-05-27-son-lux-cage-of-bones.md,SON LUX // Cage Of Bones,167430718,,,,NO
2016-06-30-wolfies-just-fine-a-new-beginning.md,Wolfie’s Just Fine - A New Beginning,174296909,,,,NO
2016-07-13-jamie-xx-gosh.md,Jamie xx - GOSH,184840918,hTGJfRPLe08,Jamie xx - Gosh,https://www.youtube.com/watch?v=hTGJfRPLe08,YES
2016-08-03-cri-tell-her.md,CRi: Tell Her,174210961,mB86kd42YzA,CRi: Tell Her (Official Video),https://www.youtube.com/watch?v=mB86kd42YzA,YES
2016-08-03-fur-voice-fantasia.md,FUR VOICE - Fantasía,123018448,nibdoW2tQlg,FUR VOICE - Fantasía (Official Video),https://www.youtube.com/watch?v=nibdoW2tQlg,YES
2016-08-03-lenny-kravitz-alexandre-chatelard.md,LENNY KRAVITZ | Alexandre Chatelard,174179940,YGDOVjz1F60,Alexandre Chatelard - Lenny Kravitz,https://www.youtube.com/watch?v=YGDOVjz1F60,YES
2016-08-10-emma-louise-west-end-kids.md,EMMA LOUISE - WEST END KIDS,177964163,ZVZ7ZsTjXv0,Emma Louise - West End Kids (Official),https://www.youtube.com/watch?v=ZVZ7ZsTjXv0,YES
2016-08-10-purity-ring-begin-again.md,Purity Ring - Begin Again,152773407,IIPMzeNWAtk,Purity Ring - begin again (Official Video),https://www.youtube.com/watch?v=IIPMzeNWAtk,YES
